version	Dolce Comp EVO
price	$ 2100.00
frame	Specialized E5 Premium Aluminum w/ D'Aluisio Smartweld Technology, Women's Endurance Geometry, women's fully-manipulated tube sets w/ smooth welds, Zertz, 1-1/8" lower bearing, disc mount
fork	Specialized FACT carbon, alloy steerer/crown, Zertz, post disc mount, Plug + Play fender mount
shifers	Shimano 685, 11-speed
brake_rear	Shimano BR-785, hydraulic disc, Ice-Tech resin pads w/ fins
brake_front	Shimano BR-785, hydraulic disc, Ice-Tech resin pads w/ fins
crankset	New FSA Gossamer Pro, sub compact, 48/32T
chain	Shimano 105, 11-speed
der_front	Shimano 105, 11-speed
der_rear	Shimano 105, 11-speed, long cage


version	Dolce EVO
price	$ 1450.00
frame	Specialized E5 Premium Aluminum w/ D'Aluisio Smartweld Technology, Women's Endurance Geometry, women's fully-manipulated tube sets w/ smooth welds, Zertz, 1-1/8" lower bearing, disc mount
fork	Specialized FACT carbon, alloy steerer/crown, Zertz, post disc mount, Plug + Play fender mount
shifers	Shimano Tiagra STI, 10-speed
brake_rear	TRP HY/RD, hydraulic disc
brake_front	TRP HY/RD, hydraulic disc
crankset	New FSA, alloy, sub compact, 48/32T
chain	KMC X10, 10-speed, w/ reusable MissingLink
der_front	Shimano Tiagra, 10-speed, braze-on
der_rear	Shimano Tiagra, 10-speed, long cage


version	Dolce Comp
price	$ 1500.00
frame	Specialized E5 Premium Aluminum w/ D'Aluisio Smartweld Technology, Women's Endurance Geometry, women's fully-manipulated tube sets w/ smooth welds, Zertz, 1-1/8" lower bearing
fork	Specialized FACT carbon, Zertz, full monocoque, for 1-1/8" bearings
shifers	Shimano 105 STI, 11-speed
brake_rear	AXIS 2.0
brake_front	AXIS 2.0
crankset	FSA Gossamer Pro, BB30, compact, 50/34T
chain	KMC X11, 11-speed, w/ reusable MissingLink
der_front	Shimano 105, 11-speed
der_rear	Shimano 105, 11-speed, long cage


version	Dolce Elite
price	$ 1250.00
frame	Specialized E5 Premium Aluminum w/ D'Aluisio Smartweld Technology, Women's Endurance Geometry, women's fully-manipulated tube sets w/ smooth welds, Zertz, 1-1/8" lower bearing
fork	Specialized FACT carbon, Zertz, full monocoque, for 1-1/8" bearings
shifers	Shimano Tiagra STI, 10-speed
brake_rear	AXIS 1.0
brake_front	AXIS 1.0
crankset	Shimano Tiagra, compact, 50/34T
chain	KMC X10, 10-speed, w/ reusable MissingLink
der_front	Shimano Tiagra, 10-speed, braze-on
der_rear	Shimano Tiagra, 10-speed, long cage


version	Dolce Sport Disc
price	$ 1150.00
frame	Specialized E5 Premium Aluminum w/ D'Aluisio Smartweld Technology, Women's Endurance Geometry, women's fully-manipulated tube sets w/ smooth welds, Zertz, 1-1/8" lower bearing, disc mount
fork	Specialized FACT carbon, alloy steerer/crown, Zertz, post disc mount, Plug + Play fender mount
shifers	Shimano Sora STI
brake_rear	Tektro Spyre, mechanical disc, dual pivot, 140mm rotor
brake_front	Tektro Spyre, mechanical disc, dual pivot, 160mm rotor
crankset	Shimano Sora, 50/34T
chain	KMC X9, 9-speed, w/ reusable MissingLink
der_front	Shimano Sora, braze-on
der_rear	Shimano Sora, long cage


version	Dolce Sport
price	$ 970.00
frame	Specialized A1 Premium Aluminum, Women's Endurance Geometry, women's fully-manipulated tube sets, 1-1/8" lower bearing
fork	Specialized FACT carbon, alloy steerer/crown, Zertz
shifers	Shimano Sora STI
brake_rear	AXIS 1.0
brake_front	AXIS 1.0
crankset	Shimano Sora, 50/34T
chain	KMC X9, 9-speed, w/ reusable MissingLink
der_front	Shimano Sora, braze-on
der_rear	Shimano Sora, long cage


version	Dolce
price	$ 770.00
frame	Specialized A1 Premium Aluminum, Women's Endurance Geometry, women's fully-manipulated tube sets, 1-1/8" lower bearing
fork	Specialized FACT carbon, alloy steerer/crown, Zertz
shifers	Shimano Claris 2400 STI
brake_rear	Tektro, caliper, dual pivot, long reach
brake_front	Tektro, caliper, dual pivot, long reach
crankset	Shimano Claris, 50/34T
chain	KMC Z7, 8-speed, w/ reusable MissingLink
der_front	Shimano Claris 2400, braze-on
der_rear	Shimano Claris 2400